"","name","latitude","longitude","gdp","X","kmc.cluster"
"102","Morocco",31.791702,-7.09262,3226.982794,2.86,2
"103","Monaco",43.750298,7.412841,185978.6093,2,3
"104","Montenegro",42.708678,19.37439,8850.094631,3.57,2
"105","Madagascar",-18.766947,46.869107,518.401123,3.86,1
"106","Marshall Islands",7.131474,171.184478,3793.550983,2.71,7
"107","Mali",17.570692,-3.996166,894.8047765,2.71,1
"108","Myanmar",21.913965,95.956223,1279.089756,3.14,4
"109","Mongolia",46.862496,103.846656,4134.979372,4,4
"110","Mauritania",21.00789,-10.940835,1601.291932,2,6
"111","Malta",35.937496,14.375416,30672.29224,4.14,2
"112","Mauritius",-20.348404,57.552152,11208.3273,4.43,1
"113","Maldives",3.202778,73.22068,10276.77339,2.86,1
"114","Malawi",-13.254308,34.301525,535.3513457,2.29,1
"115","Mexico",23.634501,-102.552784,9686.514244,3,6
"116","Malaysia",4.210484,101.975766,11377.6542,4,7
"117","Mozambique",-18.665695,35.529562,503.3179252,2.29,1
"118","Namibia",-22.95764,18.49041,5587.985613,3.14,1
"119","Niger",17.607789,8.081666,572.4301385,3.14,1
"120","Nigeria",9.081999,8.675277,2027.778549,2.43,1
"121","Nicaragua",12.865416,-85.207229,2014.570287,2.57,6
"122","Netherlands",52.132633,5.291266,53018.62936,3.29,3
"123","Norway",60.472024,8.468946,82267.80932,4,3
"124","Nepal",28.394857,84.124008,1178.525932,4,4
"125","Nauru",-0.522778,166.931503,11614.66508,2.86,7
"126","New Zealand",-40.900557,174.885971,43306.07,4.57,7
"127","Oman",21.512583,55.923255,16521.20623,2.57,4
"128","Panama",8.537981,-80.782127,15544.73352,4.29,6
"129","Peru",-9.189967,-75.015152,6957.793411,3.43,5
"130","Papua New Guinea",-6.314993,143.95555,2801.371393,3,7
"131","Philippines",12.879721,121.774017,3252.110274,3.14,4
"132","Pakistan",30.375321,69.345116,1482.213067,3.29,4
"133","Poland",51.919438,19.145136,15468.40941,3.86,2
"134","Portugal",39.399872,-8.224454,23551.04829,3.57,2
"135","Palau",7.51498,134.58252,15657.17715,3.86,7
"136","Paraguay",-23.442503,-58.443832,5782.78455,2.43,5
"137","Qatar",25.354826,51.183884,65907.94843,3,3
"138","Romania",45.943161,24.96676,12398.98198,3.57,2
"139","Serbia",44.016521,21.005859,7252.401858,3.86,2
"140","Russia",61.52401,105.318756,11287.35528,3.14,2
"141","Rwanda",-1.940278,29.873888,783.6371628,2.57,1
"142","Saudi Arabia",23.885942,45.079162,23337.01755,3.14,4
"143","Solomon Islands",-9.64571,160.156194,2411.862926,2.86,7
"144","Seychelles",-4.679574,55.491977,16390.82491,4.14,1
"145","Sudan",12.862807,30.217636,825.8689411,2.57,1
"146","Sweden",60.128161,18.643501,54589.06039,3.29,3
"147","Singapore",1.352083,103.819836,66679.04649,4.29,7
"148","Slovenia",46.151241,14.995463,26104.10279,3.14,2
"149","Slovakia",48.669026,19.699024,19364.6201,3.57,2
"150","Sierra Leone",8.460555,-11.779889,533.9915333,2,1
"151","San Marino",43.94236,12.457777,48996.59225,2.86,3
"152","Senegal",14.497401,-14.452362,1458.069093,2.29,1
"153","Somalia",5.152149,46.199616,314.542678,1.86,1
"154","Suriname",3.919305,-56.027783,6938.086981,2.71,6
"155","Sao Tome and Principe",0.18636,6.613081,1953.513257,2.71,1
"156","El Salvador",13.794185,-88.89653,4052.624775,3.86,6
"157","Swaziland",-26.522503,31.465866,4105.897212,2.43,1
"158","Chad",15.454166,18.732207,726.1510071,3.14,1
"159","Togo",8.619543,0.824782,901.5230169,3.14,1
"160","Thailand",15.870032,100.992541,7296.879608,4.29,4
"161","Tajikistan",38.861034,71.276093,853.2188734,2.29,2
"162","Timor-Leste",-8.874217,125.727539,1230.22528,2.14,7
"163","Turkmenistan",38.969719,59.556278,6967.375043,2.71,2
"164","Tunisia",33.886917,9.537499,3438.805067,3.43,2
"165","Tonga",-21.178986,-175.198242,4740.700272,3.29,5
"166","Turkey",38.963745,35.243322,9453.196172,4.86,2
"167","Trinidad and Tobago",10.691803,-61.222503,17037.86236,3,6
"168","Tuvalu",-7.109535,177.64933,3701.709255,3.14,7
"169","Tanzania",-6.369028,34.888822,1042.838759,2.57,1
"170","Ukraine",48.379433,31.16558,3096.817402,3.71,2
"171","Uganda",1.373333,32.290275,770.2570601,2.71,1
"172","United States",37.09024,-95.712891,63064.41841,3.43,3
"173","Uruguay",-32.522779,-55.765835,18703.86029,4.57,5
"174","Uzbekistan",41.377491,64.585262,1529.082864,2.86,2
"175","St. Vincent and the Grenadines",12.984305,-61.287228,7361.400962,2,6
"176","Vietnam",14.058324,108.277199,2566.447487,3.71,4
"177","Vanuatu",-15.376706,166.959158,3125.404999,3.14,7
"178","Samoa",-13.759029,-172.104629,4188.571058,3.57,5
"179","Yemen",15.552727,48.516388,824.117718,3,1
"180","South Africa",-30.559482,22.937506,6372.605655,2.86,1
"181","Zambia",-13.133897,27.849332,1516.3711,2.57,1
"182","Zimbabwe",-19.015438,29.154857,1352.162653,2.29,1
